iter	Passed	Remaining
340	719	1390
341	721	1388
342	723	1385
343	725	1382
344	727	1380
345	729	1379
346	732	1377
347	734	1375
348	736	1372
349	738	1370
350	739	1368
351	740	1363
352	743	1363
353	746	1361
354	748	1359
355	750	1357
356	752	1354
357	753	1351
358	755	1349
359	758	1349
360	760	1346
361	762	1344
362	764	1341
363	766	1338
364	767	1335
365	769	1332
366	771	1329
367	775	1331
368	778	1330
369	780	1328
370	782	1326
371	784	1324
372	788	1325
373	790	1322
374	791	1319
375	793	1317
376	795	1314
377	796	1311
378	798	1307
379	799	1304
380	802	1303
381	804	1302
382	807	1300
383	808	1297
384	810	1294
385	812	1292
386	814	1290
387	817	1290
388	819	1287
389	821	1284
390	823	1282
391	825	1279
392	826	1277
393	829	1275
394	832	1275
395	834	1272
396	836	1271
397	838	1268
398	840	1265
399	842	1264
400	844	1262
401	847	1261
402	849	1258
403	851	1255
404	852	1252
405	854	1250
406	856	1248
407	858	1245
408	861	1245
409	864	1243
410	866	1241
411	868	1239
412	870	1236
413	871	1234
414	873	1231
415	877	1231
416	879	1229
417	881	1226
418	883	1224
419	885	1222
420	887	1220
421	889	1218
422	892	1217
423	894	1214
424	896	1212
425	898	1210
426	900	1208
427	902	1206
428	905	1205
429	907	1203
430	909	1200
431	910	1197
432	912	1195
433	914	1192
434	915	1189
435	916	1186
436	918	1183
437	921	1182
438	923	1180
439	925	1177
440	927	1175
441	929	1173
442	931	1170
443	934	1170
444	937	1169
445	943	1172
446	946	1170
447	950	1171
448	957	1174
449	962	1175
450	965	1175
451	968	1174
452	976	1178
453	978	1176
454	981	1175
